user_id,date,country,device,browser,source,age_group,gender,loyalty_tier,group,converted,revenue,session_duration_sec,pages_visited
7423388,2024-01-06,IN,Mobile,Safari,Google Ads,35-44,Female,Gold,Control,0,0.0,93,2
7550634,2024-01-19,DE,Mobile,Samsung Internet,Direct,25-34,Female,Bronze,Control,0,0.0,14,6
5304572,2024-01-19,FR,Mobile,Safari,Referral,25-34,Male,Silver,Control,0,0.0,62,5
3234489,2024-01-27,US,Desktop,Safari,Direct,18-24,Male,Silver,Treatment,0,0.0,151,4
8204212,2024-02-02,IN,Mobile,Chrome,TikTok,55-64,Female,Bronze,Treatment,0,0.0,112,3
5472471,2024-01-02,IN,Tablet,Chrome,Direct,18-24,Male,Silver,Control,0,0.0,65,3
5523669,2024-01-07,IN,Mobile,Safari,Google Ads,25-34,Female,Silver,Treatment,0,0.0,30,7
8404852,2024-01-11,UK,Mobile,Safari,Organic Search,25-34,Male,Platinum,Control,0,0.0,255,1
5981505,2024-01-26,US,Mobile,Chrome,Referral,25-34,Female,Silver,Control,0,0.0,105,2
2766891,2024-02-11,FR,Desktop,Safari,Facebook,35-44,Female,Silver,Treatment,1,37.68,130,6
5521373,2024-01-25,CA,Mobile,Safari,Google Ads,25-34,Female,Silver,Treatment,0,0.0,124,3
7019877,2024-01-22,UK,Desktop,Safari,Google Ads,25-34,Prefer not to say,Bronze,Treatment,0,0.0,122,3
4344769,2024-02-10,UK,Mobile,Chrome,Google Ads,45-54,Female,Bronze,Control,0,0.0,4,3
1103355,2024-01-13,US,Mobile,Chrome,Google Ads,25-34,Female,Bronze,Control,0,0.0,272,9
2262752,2024-02-13,FR,Desktop,Chrome,Facebook,18-24,Female,Silver,Control,0,0.0,38,9
6664789,2024-02-11,CA,Desktop,Safari,Google Ads,45-54,Male,Bronze,Control,0,0.0,200,4
6743066,2024-01-03,FR,Mobile,Firefox,Facebook,25-34,Female,Bronze,Control,0,0.0,170,3
7113790,2024-02-11,FR,Mobile,Chrome,Email,25-34,Male,Platinum,Treatment,0,0.0,521,3
5721339,2024-01-11,BR,Mobile,Chrome,Facebook,45-54,Male,Bronze,Treatment,0,0.0,500,11
4275709,2024-01-15,JP,Mobile,Firefox,Google Ads,35-44,Female,Silver,Control,0,0.0,85,3
1084654,2024-02-09,IN,Mobile,Chrome,Direct,25-34,Female,Silver,Treatment,0,0.0,184,5
6147581,2024-01-15,US,Mobile,Chrome,Google Ads,25-34,Female,Bronze,Treatment,0,0.0,61,1
2954354,2024-02-02,US,Mobile,Safari,Google Ads,55-64,Female,Bronze,Treatment,0,0.0,451,3
9242680,2024-02-01,AU,Desktop,Safari,Facebook,65+,Male,Platinum,Control,0,0.0,69,5
3428388,2024-02-12,IN,Tablet,Safari,Email,35-44,Female,Silver,Control,0,0.0,209,6
9916786,2024-01-24,US,Tablet,Safari,Email,65+,Female,Bronze,Control,0,0.0,39,4
3663046,2024-02-07,US,Mobile,Safari,Google Ads,25-34,Male,Bronze,Treatment,0,0.0,117,5
6499720,2024-01-04,US,Desktop,Safari,Organic Search,35-44,Female,Bronze,Treatment,0,0.0,24,3
7640913,2024-01-27,DE,Mobile,Safari,Google Ads,25-34,Female,Gold,Treatment,0,0.0,42,2
4416664,2024-02-03,US,Mobile,Chrome,TikTok,25-34,Male,Bronze,Treatment,0,0.0,49,5
4385659,2024-01-02,UK,Desktop,Chrome,Direct,35-44,Male,Bronze,Treatment,0,0.0,160,5
4385357,2024-01-05,US,Desktop,Safari,Referral,35-44,Male,Silver,Control,0,0.0,108,4
2465689,2024-01-28,IN,Mobile,Chrome,Facebook,35-44,Female,Bronze,Treatment,0,0.0,217,4
1068148,2024-01-17,US,Tablet,Chrome,Direct,55-64,Female,Gold,Control,0,0.0,90,4
2825665,2024-02-10,UK,Tablet,Safari,Google Ads,35-44,Male,Silver,Control,0,0.0,82,5
3745683,2024-01-29,US,Mobile,Firefox,Email,35-44,Female,Bronze,Control,0,0.0,271,1
5056518,2024-01-18,US,Mobile,Chrome,Google Ads,25-34,Female,Bronze,Control,0,0.0,116,5
3669995,2024-01-11,US,Desktop,Chrome,Google Ads,25-34,Female,Bronze,Treatment,0,0.0,49,5
5997895,2024-01-16,US,Desktop,Safari,Direct,18-24,Female,Gold,Treatment,0,0.0,220,3
7397986,2024-01-03,CA,Mobile,Safari,Organic Search,35-44,Female,Bronze,Treatment,0,0.0,54,9
2870928,2024-01-29,DE,Desktop,Chrome,Google Ads,25-34,Male,Silver,Treatment,0,0.0,0,3
